DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthofFwdPackets,TotalLengthofBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowPackets/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLength,BwdHeaderLength,FwdPackets/s,BwdPackets/s,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,Down/UpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdHeaderLength1,FwdAvgBytes/Bulk,FwdAvgPackets/Bulk,FwdAvgBulkRate,BwdAvgBytes/Bulk,BwdAvgPackets/Bulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin
80,5529900,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.723340386,1843300.0,3191919.372,5529011,140,5529900,2764950.0,3908972.553,5529011,889,0,0.0,0.0,0,0,0,0,0,0,104,40,0.542505289,0.180835096,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5009163,4,4,599,2021,599,0,149.75,299.5,2021,0,505.25,1010.5,1.597073204,715594.7143,1890923.412,5003805,56,5358,1786.0,2252.041074,4381,343,5009082,1669694.0,2888011.439,5004482,952,0,0,0,0,136,136,0.798536602,0.798536602,0,2021,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,0,1,327.5,149.75,505.25,136,0,0,0,0,0,0,4,599,4,2021,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5685339,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.703564027,1895113.0,3281676.843,5684467,117,5685339,2842669.5,4018908.566,5684467,872,0,0.0,0.0,0,0,0,0,0,0,104,40,0.52767302,0.175891007,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,197,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,20304.56853,65.66666667,30.59956427,101,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,10152.28426,10152.28426,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,40,0,0,0,0,0,0,2,102,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,166,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,24096.38554,55.33333333,94.10809388,164,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,12048.19277,12048.19277,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,236,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,16949.15254,78.66666667,134.5226127,234,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,8474.576271,8474.576271,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
88,411,2,2,352,358,176,176,176.0,0.0,179,179,179.0,0.0,9732.360097,137.0,153.2873119,314,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,4866.180049,4866.180049,176,179,177.2,1.643167673,2.7,0,0,0,0,0,0,0,0,1,221.5,176.0,179.0,64,0,0,0,0,0,0,2,352,2,358,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5971007,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.669903753,1990335.667,3446598.68,5970125,118,5971007,2985503.5,4220892.204,5970125,882,0,0.0,0.0,0,0,0,0,0,0,104,40,0.502427815,0.167475938,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5685339,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.703564027,1895113.0,3281676.843,5684467,117,5685339,2842669.5,4018908.566,5684467,872,0,0.0,0.0,0,0,0,0,0,0,104,40,0.52767302,0.175891007,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5411690,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.739140638,1803896.667,3123680.323,5410812,137,5411690,2705845.0,3825401.017,5410812,878,0,0.0,0.0,0,0,0,0,0,0,104,40,0.554355479,0.18478516,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5009163,4,4,599,2021,599,0,149.75,299.5,2021,0,505.25,1010.5,1.597073204,715594.7143,1890923.412,5003805,56,5358,1786.0,2252.041074,4381,343,5009082,1669694.0,2888011.439,5004482,952,0,0,0,0,136,136,0.798536602,0.798536602,0,2021,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,0,1,327.5,149.75,505.25,136,0,0,0,0,0,0,4,599,4,2021,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,73,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,27397.26027,73.0,0.0,73,73,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13698.63014,13698.63014,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,293,236,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,109,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,18348.62385,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9174.311927,9174.311927,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,260,236,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5243646,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.762828002,1747882.0,3026647.09,5242753,91,5243646,2621823.0,3706554.752,5242753,893,0,0.0,0.0,0,0,0,0,0,0,104,40,0.572121001,0.190707,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0